manufacturer,system,component,size,ml_mm,ap_mm,illustrative
DemoMed,Knee-A,femoral,1,57.0,51.0,true
DemoMed,Knee-A,femoral,2,61.0,55.0,true
DemoMed,Knee-A,femoral,3,65.0,59.0,true
DemoMed,Knee-A,femoral,4,69.0,63.0,true
DemoMed,Knee-A,femoral,5,73.0,67.0,true
DemoMed,Knee-A,femoral,6,77.0,71.0,true
OpenOrtho,Flex-Demo,femoral,A,59.0,53.0,true
OpenOrtho,Flex-Demo,femoral,B,63.0,57.0,true
OpenOrtho,Flex-Demo,femoral,C,67.0,61.0,true
OpenOrtho,Flex-Demo,femoral,D,71.0,65.0,true
OpenOrtho,Flex-Demo,femoral,E,75.0,69.0,true
OpenOrtho,Flex-Demo,femoral,F,79.0,73.0,true
DemoMed,Knee-A,tibial,1,57.0,41.0,true
DemoMed,Knee-A,tibial,2,61.0,44.0,true
DemoMed,Knee-A,tibial,3,65.0,48.0,true
DemoMed,Knee-A,tibial,4,69.0,52.0,true
DemoMed,Knee-A,tibial,5,73.0,55.0,true
DemoMed,Knee-A,tibial,6,77.0,58.0,true
OpenOrtho,Flex-Demo,tibial,A,59.0,42.0,true
OpenOrtho,Flex-Demo,tibial,B,63.0,46.0,true
OpenOrtho,Flex-Demo,tibial,C,67.0,50.0,true
OpenOrtho,Flex-Demo,tibial,D,71.0,53.0,true
OpenOrtho,Flex-Demo,tibial,E,75.0,57.0,true
OpenOrtho,Flex-Demo,tibial,F,79.0,60.0,true
